,Unnamed: 0.1,Unnamed: 0,db_id,original_sql,rewritten_sql,activated_rules,latency_org,latency_new,original_logical_plan
0,,390,job,SELECT * FROM cast_info ci WHERE ci.person_id<100116 AND ci.role_id=2;,SELECT * FROM (SELECT * FROM title WHERE kind_id > 1 AND production_year = 1996) AS t INNER JOIN (SELECT * FROM movie_info_idx WHERE info_type_id > 100) AS t0 ON t.id = t0.movie_id,"['FILTER_INTO_JOIN', 'FILTER_SCAN']",0.690098286,0.680078983,
1,,1876,job,SELECT * FROM cast_info ci WHERE ci.person_id<1002465;,SELECT * FROM (SELECT * FROM title WHERE production_year < 1938) AS t INNER JOIN (SELECT * FROM cast_info WHERE person_id < 2290872 AND role_id > 1) AS t0 ON t.id = t0.movie_id INNER JOIN movie_keyword ON t.id = movie_keyword.movie_id,"['FILTER_INTO_JOIN', 'FILTER_REDUCE_EXPRESSIONS']",5.810760101,5.688087622,
2,,833,job,SELECT * FROM cast_info ci WHERE ci.person_id<1004616;,SELECT * FROM (SELECT * FROM title WHERE kind_id = 1) AS t INNER JOIN (SELECT * FROM cast_info WHERE person_id < 504274 AND role_id > 2) AS t0 ON t.id = t0.movie_id INNER JOIN movie_info_idx ON t.id = movie_info_idx.movie_id,['FILTER_INTO_JOIN'],6.240714312,4.43037645,
3,,1174,job,SELECT * FROM cast_info ci WHERE ci.person_id<1019415 AND ci.role_id=1;,SELECT * FROM (SELECT * FROM title WHERE kind_id = 7 AND production_year < 2006) AS t INNER JOIN movie_companies ON t.id = movie_companies.movie_id INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id = 18409) AS t0 ON t.id = t0.movie_id,['FILTER_INTO_JOIN'],0.318938017,0.279738029,
4,,1875,job,SELECT * FROM cast_info ci WHERE ci.person_id<1023213 AND ci.role_id>3;,SELECT * FROM title INNER JOIN (SELECT * FROM movie_info_idx WHERE info_type_id > 100) AS t ON title.id = t.movie_id INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id > 2327) AS t0 ON title.id = t0.movie_id,"['FILTER_INTO_JOIN', 'JOIN_CONDITION_PUSH']",2.960909128,2.891651551,
5,,276,job,SELECT * FROM cast_info ci WHERE ci.person_id<1060528 AND ci.role_id>4;,SELECT * FROM (SELECT * FROM title WHERE kind_id < 7 AND production_year > 2006) AS t INNER JOIN (SELECT * FROM movie_info WHERE info_type_id = 7) AS t0 ON t.id = t0.movie_id INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id < 1552) AS t1 ON t.id = t1.movie_id,['FILTER_INTO_JOIN'],2.434836308,2.198838075,
6,,1545,job,SELECT * FROM cast_info ci WHERE ci.person_id<1089321 AND ci.role_id=2;,SELECT * FROM (SELECT * FROM title WHERE production_year < 2011) AS t INNER JOIN (SELECT * FROM movie_companies WHERE company_id > 11) AS t0 ON t.id = t0.movie_id,['FILTER_INTO_JOIN'],4.480450392,4.476872285,
7,,2122,job,SELECT * FROM cast_info ci WHERE ci.person_id<1106503;,SELECT * FROM cast_info ci WHERE ci.person_id<1106503;,[],6.049209436,5.976602634,
8,,1561,job,SELECT * FROM cast_info ci WHERE ci.person_id<1137178;,SELECT * FROM cast_info ci WHERE ci.person_id<1137178;,[],2.649172624,2.58849144,
9,,1214,job,SELECT * FROM cast_info ci WHERE ci.person_id<1171279 AND ci.role_id>2;,SELECT * FROM cast_info ci WHERE ci.person_id<1171279 AND ci.role_id>2;,[],1.480126937,1.421604474,
