,Unnamed: 0,db_id,original_sql,rewritten_sql,activated_rules,original_logical_plan
0,0,imdb,"SELECT * FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND ci.person_id>681261 AND ci.role_id>1 AND mi_idx.info_type_id=99;",SELECT * FROM title AS title59 INNER JOIN (SELECT * FROM cast_info WHERE person_id > 681261 AND role_id > 1) AS t213 ON title59.id = t213.movie_id INNER JOIN (SELECT * FROM movie_info_idx WHERE info_type_id = 99) AS t214 ON title59.id = t214.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
1,1,imdb,"SELECT * FROM title t,movie_info mi,movie_info_idx mi_idx WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.production_year>1978 AND mi.info_type_id=3;",SELECT * FROM (SELECT * FROM title WHERE production_year > 1978) AS t213 INNER JOIN (SELECT * FROM movie_info WHERE info_type_id = 3) AS t214 ON t213.id = t214.movie_id INNER JOIN movie_info_idx AS movie_info_idx59 ON t213.id = movie_info_idx59.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
2,2,imdb,"SELECT * FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND t.kind_id<4 AND t.production_year=1966 AND mc.company_id<7563 AND mc.company_type_id=2 AND mi.info_type_id>6;",SELECT * FROM (SELECT * FROM title WHERE kind_id < 4 AND production_year = 1966) AS t276 INNER JOIN (SELECT * FROM movie_companies WHERE company_id < 7563 AND company_type_id = 2) AS t277 ON t276.id = t277.movie_id INNER JOIN (SELECT * FROM movie_info WHERE info_type_id > 6) AS t278 ON t276.id = t278.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
3,3,imdb,"SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND mi_idx.info_type_id=100 AND mk.keyword_id>430;",SELECT * FROM title AS title61 INNER JOIN (SELECT * FROM movie_info_idx WHERE info_type_id = 100) AS t222 ON title61.id = t222.movie_id INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id > 430) AS t223 ON title61.id = t223.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
4,4,imdb,"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND ci.role_id=4 AND mk.keyword_id=2830;",SELECT * FROM title AS title60 INNER JOIN (SELECT * FROM cast_info WHERE role_id = 4) AS t217 ON title60.id = t217.movie_id INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id = 2830) AS t218 ON title60.id = t218.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
5,5,imdb,"SELECT * FROM title t,movie_info mi,movie_info_idx mi_idx WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.production_year<1965 AND mi.info_type_id<90;",SELECT * FROM (SELECT * FROM title WHERE production_year < 1965) AS t222 INNER JOIN (SELECT * FROM movie_info WHERE info_type_id < 90) AS t223 ON t222.id = t223.movie_id INNER JOIN movie_info_idx AS movie_info_idx61 ON t222.id = movie_info_idx61.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
6,6,imdb,"SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.kind_id>3 AND t.production_year<2011 AND mi.info_type_id<18;","SELECT * FROM (SELECT * FROM (SELECT * FROM title WHERE kind_id > 3 AND production_year < 2011) AS t, (SELECT * FROM movie_info WHERE info_type_id < 18) AS t0 WHERE t.id = t0.movie_id) AS t1, movie_keyword WHERE t1.id = movie_keyword.movie_id;",['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
7,7,imdb,"SELECT * FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=1 AND t.production_year<1959;",SELECT * FROM (SELECT * FROM title WHERE kind_id = 1 AND production_year < 1959) AS t159 INNER JOIN cast_info AS cast_info60 ON t159.id = cast_info60.movie_id INNER JOIN movie_info_idx AS movie_info_idx60 ON t159.id = movie_info_idx60.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
8,8,imdb,"SELECT * FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_id<11373;",SELECT * FROM title INNER JOIN (SELECT * FROM movie_companies WHERE company_id < 11373) AS t ON title.id = t.movie_id INNER JOIN movie_info_idx ON title.id = movie_info_idx.movie_id;,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
9,9,imdb,"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.kind_id=7 AND t.production_year<2008 AND ci.role_id=1 AND mk.keyword_id<73;",SELECT * FROM (SELECT * FROM title WHERE kind_id = 7 AND production_year < 2008) AS t282 INNER JOIN (SELECT * FROM cast_info WHERE role_id = 1) AS t283 ON t282.id = t283.movie_id INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id < 73) AS t284 ON t282.id = t284.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
10,10,imdb,"SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND mc.company_type_id>1 AND ci.person_id<394300;",SELECT * FROM title AS title59 INNER JOIN (SELECT * FROM movie_companies WHERE company_type_id > 1) AS t213 ON title59.id = t213.movie_id INNER JOIN (SELECT * FROM cast_info WHERE person_id < 394300) AS t214 ON title59.id = t214.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
11,11,imdb,"SELECT * FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND t.kind_id=1 AND t.production_year<1965 AND mc.company_id>1237;",SELECT * FROM (SELECT * FROM title WHERE kind_id = 1 AND production_year < 1965) AS t INNER JOIN (SELECT * FROM movie_companies WHERE company_id > 1237) AS t0 ON t.id = t0.movie_id INNER JOIN movie_keyword ON t.id = movie_keyword.movie_id;,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
12,12,imdb,"SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND t.kind_id>1 AND t.production_year>2006;",SELECT * FROM (SELECT * FROM title WHERE kind_id > 1 AND production_year > 2006) AS t155 INNER JOIN cast_info AS cast_info59 ON t155.id = cast_info59.movie_id INNER JOIN movie_info AS movie_info59 ON t155.id = movie_info59.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
